구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),TM_X,TM_Y
kor,3017059300,대전광역시,서구,도안동,67,100,127,20,48.24,36,19,25.02,127.346732378171,36.3236179406995,231193.755895,313683.541211
kor,3017059600,대전광역시,서구,관저동,66,99,127,20,21.84,36,18,3.28,127.3394,36.3009111111111,229837.419558,310455.73542
kor,3017060000,대전광역시,서구,기성동,67,98,127,20,37.55,36,15,10.55,127.343763888888,36.2529305555555,231083.86537460523,305859.1015098555
kor,3017063000,대전광역시,서구,둔산동,67,100,127,23,16.59,36,20,58.27,127.387941666666,36.3495194444444,234640.487848,317347.979649
kor,3017065000,대전광역시,서구,만년동,67,101,127,22,37.67,36,21,52.66,127.377130555555,36.3646277777777,234284.060759,318631.93831
kor,3020052000,대전광역시,유성구,진잠동,66,99,127,19,6.96,36,17,48.66,127.318599999999,36.29685,228806.132166672,310724.8771147975
kor,3020052600,대전광역시,유성구,학하동,66,100,127,18,31.43,36,20,28.1,127.30872977332,36.3411396869139,228112.785555,314954.123041
kor,3020052700,대전광역시,유성구,상대동,66,100,127,20,4.89,36,20,48.46,127.334691269024,36.346794528901,229939.309844,315805.202303
kor,3020053000,대전광역시,유성구,온천동,66,100,127,20,28.0,36,21,0.92,127.341111111111,36.3502555555555,230807.22287322016,316658.0188611819
kor,3020054600,대전광역시,유성구,노은동,66,101,127,19,14.0,36,21,55.19,127.320555555555,36.3653305555555,228558.597028,318628.177614
kor,3020055000,대전광역시,유성구,신성동,67,101,127,20,58.32,36,23,10.5,127.349533333333,36.38625,231353.603491,320414.368328
kor,3020057000,대전광역시,유성구,전민동,68,101,127,24,9.11,36,23,49.3,127.402530555555,36.3970277777777,235702.343206,322506.274579
kor,3020058000,대전광역시,유성구,구즉동,67,102,127,23,9.32,36,26,14.89,127.385922222222,36.4374694444444,234790.85199236928,326351.1418889335
kor,3020060000,대전광역시,유성구,관평동,68,101,127,23,19.6,36,25,23.41,127.3887774,36.42316994,234860.425546,324792.748886
kor,3020061000,대전광역시,유성구,원신흥동,67,100,127,20,35.87,36,20,31.73,127.343296,36.342146,230985.806315,315240.200235
kor,3023051000,대전광역시,대덕구,오정동,68,100,127,24,43.11,36,21,3.0,127.411975,36.3508333333333,237096.066179,317082.766906
kor,3023052000,대전광역시,대덕구,대화동,68,101,127,24,48.47,36,21,48.42,127.413463888888,36.36345,236485.343303,318757.191101
kor,3023052500,대전광역시,대덕구,회덕동,68,101,127,25,24.96,36,22,24.0,127.4236,36.3733333333333,238200.53765843777,319248.29512668913
kor,3023053300,대전광역시,대덕구,비래동,68,100,127,27,7.28,36,21,7.25,127.452022222222,36.3520138888888,240768.903085,318045.585461
kor,3023054300,대전광역시,대덕구,송촌동,68,101,127,26,31.32,36,21,45.8,127.442033333333,36.3627222222222,239665.489961,318283.44886
kor,3023054600,대전광역시,대덕구,중리동,68,101,127,25,42.79,36,21,27.8,127.428552777777,36.3577222222222,238239.466906,317945.576909
kor,3023055000,대전광역시,대덕구,신탄진동,68,103,127,25,52.35,36,26,55.64,127.431208333333,36.4487888888888,238985.438941,327548.818132
kor,3023056000,대전광역시,대덕구,석봉동,68,102,127,25,40.35,36,26,42.7,127.427875,36.4451944444444,237811.907237,327848.219318
kor,3023057000,대전광역시,대덕구,덕암동,68,102,127,25,44.67,36,26,14.44,127.429075,36.4373444444444,237656.161069,326702.840887
kor,3023058000,대전광역시,대덕구,목상동,68,102,127,24,51.59,36,26,44.07,127.414330555555,36.445575,237026.229002,327376.177636
kor,3023060000,대전광역시,대덕구,법동,68,101,127,25,44.03,36,22,4.46,127.428897222222,36.3679055555555,239065.909712,319348.225966
